date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:39:49	167480/167480	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2004%20Sep%202020%2012:20:27%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/js/select2/select2.full.js	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/js/select2/select2.full.js	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:49	44348/44348	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2004%20Sep%202020%2012:20:23%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/js/owl-carousel/owl.carousel.min.js	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/js/owl-carousel/owl.carousel.min.js	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:49	127948/127948	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2004%20Sep%202020%2012:20:32%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/js/swiper/swiper.min.js	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/js/swiper/swiper.min.js	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:49	4531/4531	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2004%20Sep%202020%2012:20:34%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/js/swiperanimation/SwiperAnimation.min.js	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/js/swiperanimation/SwiperAnimation.min.js	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:50	20219/20219	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2004%20Sep%202020%2012:20:21%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/js/magnific-popup/jquery.magnific-popup.min.js	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/js/magnific-popup/jquery.magnific-popup.min.js	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:50	41055/41055	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2004%20Sep%202020%2012:20:20%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/js/jarallax/jarallax.js	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/js/jarallax/jarallax.js	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:50	19930/19930	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2004%20Sep%202020%2012:20:29%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/js/shuffle/shuffle.min.js	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/js/shuffle/shuffle.min.js	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:50	12559/12559	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2004%20Sep%202020%2012:20:10%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/js/custom.js	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/js/custom.js	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:51	133034/133034	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2004%20Sep%202020%2012:18:06%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/fonts/fa-brands-400.eot	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/fonts/fa-brands-400.eot	(from https://themes.potenzaglobalsolutions.com/html/academic/css/font-awesome/all.min.css)
06:39:51	76548/76548	---M--	200	added ('OK')	font/woff2	date:Fri,%2004%20Sep%202020%2012:18:09%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/fonts/fa-brands-400.woff2	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/fonts/fa-brands-400.woff2	(from https://themes.potenzaglobalsolutions.com/html/academic/css/font-awesome/all.min.css)
